ingredient,status
Milk,0
Bread,0
Sour Dough Bread,0
Mac & Cheese,0
Ramen,0
Beef,0
Chicken,0
Hot Dogs,0
Hot Dog Buns,0
Hamburger Buns,0
Tuna,0
Eggs,0
Cereal, 0
Bananas,0
Apples,0
Oranges,0
Fruit Cups, 0
Frozen Peas,0
Frozen Broccooli,0
Frozen Corn,0
Fresh Veggies,0
Soup,0
Sauce,0
Noodles,0
Pretzels,0
Chips,0
Yogurt,0
Peanut Butter, 0
Jelly,0
Pickles,0
Bacon,0
Tortillas,0
Acai Berries, 0
Cookies,0
Craisins,0
Cheese Sticks,0
Frozen Meals,0
Ketchup,0
Mustard,0
Mayo,0
Cottage Cheese,0
Waffles,0
Syrup,0

